,freight_value,price,payment_value,payment_installments,payment_sequential
80852,10.08,269.9,279.98,6,1
89236,49.37,120.0,169.37,1,1
98517,12.48,18.9,31.38,1,1
46310,14.1,30.5,44.6,1,1
109934,16.61,59.99,76.6,1,1
43844,12.35,7.99,81.36,8,1
100430,18.23,48.9,67.13,1,1
49017,11.73,129.99,141.72,2,1
83792,36.7,89.0,125.7,1,1
78163,15.73,139.9,155.63,6,1
76883,14.52,23.89,38.41,1,1
75005,10.96,15.75,80.13,1,1
72496,10.47,325.0,335.47,2,1
33151,33.11,89.99,123.1,1,1
98825,18.23,12.25,30.48,1,1
103571,13.93,130.0,143.93,3,1
100876,48.82,359.99,408.81,6,1
85461,17.66,59.0,76.66,7,1
20996,18.24,51.9,70.14,1,1
107886,15.57,98.8,114.37,1,1
3182,17.92,38.4,112.64,5,1
63526,17.14,100.0,117.14,1,1
49351,21.33,119.9,79.9,1,2
65963,9.98,255.0,264.98,1,1
90740,16.47,74.5,90.97,1,1
15486,13.47,116.0,129.47,1,1
52922,19.83,359.0,378.83,1,1
100981,25.42,59.9,211.71,10,1
67544,42.37,689.0,731.37,3,1
90679,14.07,110.0,124.07,1,1
18106,12.48,39.99,52.47,4,1
66312,13.68,146.01,159.69,4,1
42364,16.6,39.9,56.5,4,1
66365,0.0,110.0,110.0,7,1
108138,15.1,19.99,70.18,1,1
102564,15.98,199.0,214.98,7,1
39603,16.77,74.9,91.67,4,1
65042,18.23,39.0,14.21,1,2
68271,11.87,658.9,670.77,8,1
33403,7.4,19.9,54.6,5,1
13711,18.75,135.0,461.25,10,1
61622,15.83,135.0,150.83,2,1
963,11.45,119.99,131.44,1,1
15943,21.76,181.0,202.76,1,1
75305,21.15,349.9,371.05,4,1
7932,20.98,101.0,121.98,4,1
8075,21.96,9.99,82.55,5,1
112257,15.1,49.9,15.0,1,1
100771,27.17,89.99,99.83,1,2
6872,17.09,43.9,2.36,1,2
68957,16.86,59.6,76.46,1,1
18294,17.6,29.9,47.5,1,1
38845,52.72,52.58,105.3,5,1
1570,18.33,25.0,173.32,1,1
29191,35.35,69.99,160.37,1,1
7020,41.0,149.98,190.98,10,1
4148,7.39,35.0,84.78,1,1
29588,11.73,59.9,71.63,2,1
6974,74.27,188.0,262.27,8,1
107613,21.15,49.9,71.05,5,1
1815,11.27,93.9,105.17,1,1
44240,13.08,74.0,87.08,1,1
101204,23.56,89.9,113.46,2,1
35962,38.68,220.0,258.68,2,1
61623,14.7,135.0,149.7,2,1
35601,6.6,65.9,149.88,10,1
39351,12.69,30.0,42.69,4,1
63703,14.62,124.99,139.61,1,1
32237,8.29,28.9,37.19,1,1
95108,15.1,11.97,27.07,1,1
27876,14.14,55.0,69.14,1,1
14165,65.58,114.99,180.57,3,1
5644,20.98,69.9,90.88,1,1
103240,17.32,223.0,240.32,2,1
67903,16.84,124.9,141.74,1,1
77855,19.32,28.9,47.55,1,2
64335,7.78,29.0,36.78,1,1
24410,14.3,134.9,149.2,1,1
80019,14.15,56.99,71.14,1,1
8703,12.75,59.0,287.0,5,1
2037,19.11,79.9,99.01,1,1
83050,17.86,150.0,167.86,3,1
42117,8.74,199.0,207.74,1,1
72210,7.39,47.65,55.04,1,1
35360,10.29,89.9,391.66,10,1
99012,16.79,13.65,30.44,1,1
38561,13.71,42.9,56.61,5,1
66106,19.5,679.0,698.5,8,1
87390,14.56,35.0,49.56,1,1
74190,26.57,37.9,42.13,4,1
65745,13.07,59.0,72.07,1,1
23242,62.53,40.0,102.53,1,1
15984,15.06,127.48,142.54,1,1
111122,75.69,229.99,305.68,1,1
32982,81.01,1377.5,1458.51,8,1
61956,7.39,34.5,41.89,1,1
9509,14.12,37.99,52.11,5,1
77343,15.56,49.99,65.55,1,1
81246,12.33,118.0,130.33,1,1
95573,11.85,25.99,75.68,1,1
50159,27.95,199.99,227.94,4,1
98935,34.15,21.9,56.05,1,1
37176,20.15,129.9,150.05,4,1
23234,15.37,69.9,85.27,8,1
56540,14.52,19.0,11.87,1,1
23209,38.99,105.0,143.99,1,1
68407,23.61,158.9,182.51,1,1
64248,7.41,78.0,85.41,4,1
92082,22.26,167.9,190.16,1,1
85941,14.52,39.9,54.42,1,1
8569,14.1,49.9,64.0,3,1
4080,49.37,120.0,100.0,1,2
85251,17.67,59.9,77.57,2,1
110355,19.32,48.9,68.22,1,1
68059,20.76,858.9,879.66,1,1
44339,21.85,77.99,55.52,1,1
75742,14.53,51.9,66.43,1,1
29911,20.16,72.99,186.3,10,1
110898,17.95,99.9,1.4,1,2
101727,84.39,209.9,294.29,2,1
46832,35.94,89.0,100.0,1,2
106367,7.78,49.0,56.78,1,1
100153,18.65,200.0,218.65,4,1
79559,15.23,25.0,68.45,1,1
103175,14.08,15.99,120.28,5,1
4022,15.1,10.0,150.6,10,1
110632,22.06,7.84,89.7,2,1
94345,18.45,49.99,68.44,6,1
6779,9.41,84.9,94.31,4,1
107639,43.0,139.0,182.0,3,1
101655,18.27,99.9,118.17,2,1
63802,22.44,234.99,257.43,2,1
80856,10.08,269.9,279.98,2,1
2372,21.53,159.0,180.53,1,1
22351,10.96,9.9,20.86,1,1
44576,19.73,76.9,96.63,1,1
56405,12.79,46.99,59.78,1,1
73260,15.1,49.9,65.0,5,1
50247,14.46,101.99,116.45,1,1
36127,31.81,165.9,593.13,10,1
19064,19.82,89.9,109.72,3,1
34115,11.24,89.9,7.61,1,1
101031,15.72,119.99,407.13,2,1
63112,14.1,39.9,54.0,1,1
80728,8.81,149.0,157.81,3,1
62049,7.78,34.99,42.77,1,1
102819,29.91,215.56,245.47,6,1
29848,18.51,179.99,198.5,10,1
93261,15.1,19.94,35.04,3,1
26334,17.92,38.97,56.89,1,1
98845,7.39,16.5,42.83,4,1
97576,12.6,99.0,334.8,10,1
35641,12.83,69.9,82.73,1,1
104187,20.68,191.47,212.15,4,1
66970,27.14,151.9,179.04,3,1
52834,21.28,298.9,320.18,8,1
102814,19.38,119.9,139.28,1,1
66110,17.42,379.99,397.41,10,1
22192,25.25,99.9,125.15,2,1
73481,17.0,414.62,431.62,10,1
38396,7.1,49.99,853.95,3,1
100030,22.06,179.93,201.99,1,1
30349,17.76,89.9,107.66,1,1
75659,36.01,98.0,134.01,10,1
104666,27.81,425.0,452.81,9,1
6211,17.6,45.91,63.51,1,1
66089,19.18,775.0,794.18,1,1
65225,7.78,39.0,46.78,2,1
41640,19.51,45.0,64.51,2,1
85071,17.63,53.9,143.06,2,1
76279,15.26,73.0,88.26,2,1
80540,7.95,99.9,2.51,1,4
48598,15.66,129.9,145.56,10,1
48685,8.79,219.9,228.69,3,1
43482,18.28,225.0,243.28,4,1
342,35.14,139.94,175.08,3,1
86167,28.89,99.99,128.88,1,1
59632,17.6,30.21,47.81,1,1
44903,27.55,159.9,187.45,1,1
83068,11.31,150.0,161.31,1,1
64378,17.78,49.0,113.56,10,1
89365,32.22,169.9,202.12,4,1
11855,11.85,31.0,42.85,1,1
69054,18.86,109.0,127.86,6,1
79567,15.1,39.9,55.0,1,1
18853,10.06,41.0,111.01,1,1
56544,15.1,29.0,44.1,4,1
50066,17.92,20.0,30.0,1,2
25815,8.22,68.9,77.12,1,1
85777,17.67,59.9,232.71,1,1
60212,19.82,133.0,152.82,2,1
5985,13.08,75.0,88.08,1,1
67513,19.13,178.9,198.03,4,1
46748,16.15,55.0,71.15,2,1
70660,16.05,19.99,36.04,1,1
108128,37.09,24.99,62.08,1,1
4911,19.59,24.9,44.49,1,1
103322,18.7,84.99,103.69,3,1
28399,16.78,49.8,66.58,6,1
16615,16.95,99.9,116.85,3,1
53209,14.52,25.0,5.52,1,2
51808,19.84,29.5,1.5,1,2
107298,7.74,79.9,87.64,1,1
22350,10.96,9.9,20.86,1,1
112262,12.79,49.9,62.69,5,1
15062,13.26,294.0,307.26,4,1
30843,19.77,82.98,102.75,5,1
29547,14.13,59.9,74.03,1,1
80779,9.73,219.9,229.63,10,1
5146,13.02,97.81,221.66,15,1
108670,14.43,99.9,228.66,6,1
2259,11.95,129.9,283.7,6,1
47075,24.97,299.99,324.96,1,1
58840,15.23,68.9,84.13,1,1
42961,21.64,163.99,185.63,8,1
14461,7.39,6.9,14.29,1,1
5464,16.21,65.0,162.42,15,1
49980,29.82,185.9,215.72,3,1
102099,37.99,186.0,223.99,8,1
22676,27.06,317.0,337.55,1,2
111969,63.65,795.0,858.65,10,1
19737,15.11,22.5,37.61,1,1
78593,17.65,199.89,217.54,1,1
45575,13.71,49.99,63.7,2,1
1641,70.27,369.9,440.17,6,1
55641,27.59,149.9,177.49,1,1
75850,9.5,14.89,48.77,1,1
46727,12.69,49.9,62.59,2,1
70006,7.47,29.9,37.37,1,1
61555,20.01,188.0,208.01,4,1
20078,19.36,179.99,199.35,1,1
33467,12.79,49.9,62.69,1,1
66797,34.82,146.0,180.82,10,1
270,28.0,90.99,237.98,1,1
107234,0.45,60.0,10.08,1,1
16420,17.58,119.99,137.57,1,1
84280,17.66,59.0,153.32,1,1
107854,7.78,49.9,57.68,1,1
28763,21.27,568.45,589.72,8,1
5374,19.04,18.9,37.94,1,1
88253,40.82,119.0,159.82,1,1
106934,14.38,69.9,298.56,10,1
108915,8.88,19.99,28.87,1,1
83741,33.08,99.0,132.08,1,1
81633,16.48,329.9,346.38,2,1
90104,27.8,59.9,87.7,1,1
70653,14.52,19.99,34.51,1,1
15727,19.13,179.0,198.13,1,1
107485,14.52,49.9,64.42,1,1
94582,25.54,170.0,195.54,2,1
85087,8.11,53.9,62.01,6,1
78855,15.1,25.0,40.1,2,1
8600,8.72,49.9,58.62,1,1
20865,15.11,19.9,35.01,1,1
45582,18.18,43.99,222.35,2,1
70174,23.31,54.0,77.31,3,1
50562,26.96,99.99,3.57,1,1
10791,9.44,45.9,5.34,1,1
20237,7.78,28.4,36.18,1,1
96802,46.25,500.0,546.25,6,1
83327,18.23,10.5,57.46,5,1
31069,17.98,59.2,19.55,1,4
49627,14.1,29.9,132.0,1,1
67372,18.85,229.0,247.85,1,1
21054,19.49,135.0,25.27,1,2
75494,14.1,24.9,39.0,3,1
30708,11.97,84.99,96.96,2,1
52938,7.86,86.8,94.66,2,1
79223,12.79,15.0,27.79,1,1
79906,14.15,56.99,20.0,1,1
68929,18.23,33.5,51.73,1,1
33877,24.96,58.9,83.86,8,1
22964,18.23,16.9,210.78,1,1
104515,16.32,79.99,288.93,8,1
48672,17.94,94.99,112.93,1,1
8693,13.92,48.0,247.68,4,1
103973,37.56,210.0,495.12,1,1
60925,7.78,19.99,55.54,1,1
35424,22.92,422.0,444.92,4,1
36838,13.72,99.9,113.62,4,1
93046,16.79,29.99,46.78,1,1
91521,51.73,143.8,195.53,8,1
65731,20.99,59.0,79.99,1,1
79495,15.5,189.9,205.4,1,1
83522,14.36,239.9,364.18,10,1
33894,40.9,119.0,159.9,1,1
49580,21.26,117.0,138.26,2,1
72140,7.78,64.9,72.68,2,1
38323,15.1,13.9,29.0,2,1
46796,15.22,29.5,84.77,1,1
106312,16.95,49.0,65.95,1,1
67481,6.57,99.0,105.57,3,1
85162,10.64,53.9,305.89,4,1
98744,18.93,89.9,108.83,1,1
84788,17.64,49.0,66.64,2,1
57646,14.11,19.9,34.01,3,1
89034,51.05,109.0,160.05,8,1
4196,25.59,69.9,190.98,3,1
37786,12.94,39.99,52.93,2,1
59837,13.72,199.0,425.46,5,1
31610,64.8,24.49,89.29,8,1
616,36.85,169.99,206.84,10,1
49469,16.5,75.99,92.49,4,1
11265,16.3,176.9,910.6,10,1
2724,18.08,119.0,411.24,10,1
24436,26.89,48.9,75.79,2,1
7876,15.36,69.0,84.36,8,1
92525,18.23,24.99,43.22,1,1
70706,15.79,23.99,39.78,2,1
54529,15.1,24.99,40.09,1,1
23037,56.38,69.9,109.92,1,2
45570,13.71,49.99,63.7,1,1
36518,22.96,119.9,211.94,8,1
101759,27.49,73.02,100.51,1,1
20949,16.18,59.99,152.34,3,1
40869,12.43,59.9,72.33,1,1
75360,17.75,187.0,204.75,1,1
20989,19.35,225.0,244.35,1,1
53178,65.01,610.0,675.01,10,1
47848,17.75,70.97,177.44,1,1
69328,19.36,179.9,199.26,5,1
94722,15.22,249.0,264.22,3,1
5393,12.35,24.9,37.25,1,1
84888,13.44,59.9,146.68,9,1
69471,12.76,109.0,121.76,8,1
64976,15.23,45.0,60.23,2,1
36493,27.48,199.9,682.14,10,1
106095,17.74,69.9,87.64,1,1
70636,7.88,89.99,97.87,2,1
63892,29.99,105.0,134.99,1,1
33810,44.77,139.0,54.23,1,6
67460,16.01,180.0,196.01,3,1
16823,22.63,255.0,277.63,3,1
26789,35.43,129.99,165.42,8,1
66963,17.97,151.9,169.87,4,1
88817,13.64,89.0,102.64,4,1
48783,16.11,38.25,108.72,10,1
35556,14.67,51.9,66.57,1,1
78051,17.65,174.9,192.55,7,1
24033,14.52,30.0,44.52,1,1
107557,11.85,49.9,61.75,1,1
53598,24.01,209.99,234.0,2,1
35839,13.14,259.9,496.18,3,1
86752,27.43,99.9,127.33,3,1
11941,7.39,34.5,41.89,1,1
94759,18.79,215.94,234.73,3,1
27478,9.24,14.49,302.52,7,1
20876,7.87,120.0,127.87,1,1
81062,29.72,117.4,273.69,2,1
72758,0.07,672.0,1348.67,10,1
48349,18.0,119.8,137.8,1,1
18269,12.65,99.9,112.55,1,1
27155,9.27,24.9,34.17,1,1
45941,4.4,119.0,462.7,1,1
13693,18.16,112.0,130.16,2,1
46519,15.13,54.99,70.12,1,1
81287,18.27,55.9,74.17,4,1
72842,338.3,1050.0,1388.3,8,1
1370,34.56,169.96,204.52,4,1
42825,23.1,138.0,531.48,1,1
110292,11.85,39.9,51.75,1,1
60001,12.69,37.8,100.98,1,1
34081,25.91,89.9,115.81,4,1
47809,12.89,78.8,91.69,4,1
105665,22.88,166.8,189.68,1,1
109467,21.6,69.0,276.74,1,1
64460,15.42,45.0,60.42,1,1
11704,18.3,166.9,185.2,1,1
111626,15.23,10.0,100.92,1,1
16726,15.23,46.9,62.13,3,1
38251,12.79,17.9,61.38,1,1
62553,14.5,107.0,364.5,7,1
7562,34.54,169.0,203.54,8,1
100647,12.23,56.0,68.23,1,1
103845,14.65,49.9,129.1,2,1
39359,12.2,99.99,54.72,1,2
78607,16.08,139.9,155.98,3,1
9155,14.28,75.9,360.72,1,1
8939,40.01,99.0,39.01,3,1
92370,7.46,28.99,36.45,1,1
92819,7.78,24.99,32.77,1,1
79635,15.42,44.99,60.41,2,1
35387,25.61,109.9,135.51,4,1
31458,12.96,34.9,191.44,1,1
77617,21.44,314.97,672.82,8,1
84322,20.99,49.91,141.8,2,1
73615,17.07,90.0,107.07,2,1
104380,7.39,45.0,52.39,4,1
71181,11.73,59.99,71.72,7,1
66773,37.88,138.0,175.88,3,1
23809,28.49,48.99,225.6,10,1
56823,31.88,173.0,204.88,2,1
29180,16.6,23.99,40.59,4,1
25997,15.18,59.9,3.02,1,2
44526,27.25,73.9,101.15,10,1
97547,90.57,1499.0,1589.57,10,1
8325,23.28,49.9,219.54,3,1
44743,33.39,134.9,168.29,1,1
95083,7.39,25.77,66.32,1,1
23745,11.73,9.99,21.72,1,1
87727,63.54,399.9,463.44,10,1
80582,19.04,209.99,229.03,3,1
84198,17.6,49.9,67.5,1,1
104377,18.42,46.0,322.1,8,1
88814,17.87,89.0,106.87,5,1
38018,12.98,45.95,58.93,4,1
89655,18.01,68.9,163.83,1,1
36047,26.66,259.9,286.56,8,1
49439,7.39,30.9,38.29,1,1
75303,15.47,349.9,365.37,1,1
12432,25.77,241.0,266.77,2,1
84350,0.0,53.9,161.7,3,1
9385,9.62,9.9,109.4,1,1
68186,19.0,160.56,179.56,5,1
107469,15.1,49.9,65.0,1,1
896,28.96,79.99,708.28,10,1
40949,25.54,99.99,251.06,1,1
92238,19.71,229.99,249.7,18,1
54763,19.28,99.0,118.28,10,1
71937,27.51,64.99,92.5,1,1
42066,21.4,109.0,130.4,1,1
2538,19.39,59.9,396.45,1,1
77565,39.99,130.0,169.99,1,1
38764,19.58,56.1,75.68,2,1
81385,15.87,159.9,175.77,1,1
66701,20.33,350.0,370.33,3,1
69832,26.95,238.0,264.95,1,1
55838,26.29,144.41,341.4,1,1
49753,11.76,79.9,91.66,2,1
48391,57.45,139.0,196.45,2,1
103238,27.12,55.76,414.4,3,1
10308,34.6,199.99,234.59,4,1
51349,17.67,59.99,77.66,1,1
47886,13.37,50.7,64.07,1,1
25267,18.79,98.9,50.0,1,3
102845,11.23,30.0,82.46,1,1
41052,2.41,77.99,182.44,8,1
12783,14.55,169.9,184.45,2,1
23757,20.66,69.99,259.35,1,2
9473,20.96,210.0,230.96,2,1
106360,14.1,49.0,63.1,1,1
79403,18.97,124.9,143.87,1,2
2448,21.14,93.0,114.14,1,1
26342,8.82,30.0,77.64,1,1
5061,34.44,49.7,84.14,2,1
97192,22.93,42.99,65.92,2,1
41952,17.83,82.99,100.82,3,1
41331,15.44,39.99,166.28,10,1
99500,7.39,13.65,21.04,1,1
8710,3.6,59.0,313.0,2,1
89074,17.78,149.0,166.78,8,1
74988,10.96,15.75,53.42,2,1
103647,7.87,27.9,35.77,1,1
70541,7.88,89.99,97.87,7,1
15978,15.13,148.0,163.13,8,1
43119,25.15,119.99,145.14,10,1
53982,18.98,99.9,118.88,2,1
111744,9.44,99.0,108.44,5,1
55851,13.14,144.41,157.55,1,1
88729,15.3,78.99,94.29,9,1
91623,14.19,62.8,153.98,1,1
47680,17.21,66.99,84.2,1,1
32153,14.72,59.54,74.26,1,1
69576,19.27,198.8,218.07,4,1
99773,17.13,27.89,45.02,4,1
60351,38.49,133.9,172.39,1,1
25159,17.63,100.0,117.63,1,1
48428,13.85,69.9,83.75,1,1
83283,7.78,15.0,91.12,2,1
63358,11.85,24.5,36.35,1,1
57469,16.79,31.9,97.38,1,1
42815,15.1,39.9,55.0,1,1
99469,37.04,15.0,52.04,1,1
62227,16.79,39.9,56.69,1,1
71283,11.15,58.99,70.14,1,1
47649,16.52,499.9,516.42,10,1
10815,30.1,229.9,260.0,5,1
40220,69.81,45.9,140.01,10,1
85116,17.67,59.9,77.57,1,1
52707,17.92,25.0,42.92,1,1
32546,19.66,59.9,79.56,1,1
104421,9.73,179.99,189.72,3,1
35211,18.06,89.9,107.96,1,1
42194,23.35,79.0,102.35,3,1
27000,11.15,63.99,75.14,1,1
6175,25.63,112.5,138.13,6,1
108947,17.16,129.99,147.15,2,1
52981,14.71,139.84,154.55,3,1
82281,7.71,7.0,29.42,1,1
58809,21.15,45.99,67.14,1,1
26768,18.91,95.0,113.91,1,1
58938,9.92,74.9,795.95,1,1
28521,11.85,19.9,31.75,3,1
55060,58.76,129.0,375.52,5,1
63019,13.12,111.08,124.2,1,1
107259,15.37,89.0,104.37,2,1
53023,48.19,199.0,197.19,10,1
67694,14.76,299.9,314.66,8,1
111026,67.6,1561.0,1628.6,10,1
40681,21.58,105.9,274.64,6,1
78028,14.75,399.0,413.75,5,1
80353,11.85,38.9,20.85,1,2
29718,14.8,89.9,104.7,9,1
79225,12.79,15.0,27.79,1,1
50630,17.76,72.99,90.75,1,1
7277,13.37,48.5,61.87,3,1
6046,19.98,69.9,89.88,1,1
15249,9.27,29.49,38.76,3,1
20976,9.35,299.0,308.35,10,1
19794,19.43,169.99,707.68,10,1
24149,17.6,50.0,67.6,1,1
19424,19.27,198.0,217.27,3,1
71882,63.11,122.99,186.1,6,1
65401,7.78,35.0,42.78,1,1
13848,36.88,249.9,286.78,3,1
9869,17.93,22.9,81.66,1,1
29150,16.6,43.0,59.6,2,1
91092,8.27,46.2,54.47,1,1
25447,19.34,987.0,1006.34,10,1
55494,30.08,149.9,179.98,1,1
27911,19.34,170.0,378.68,8,1
41963,16.75,159.99,176.74,9,1
84176,17.67,49.0,66.67,1,1
9163,38.33,82.17,30.5,1,1
82640,14.1,44.9,118.0,6,1
51494,27.83,64.9,92.73,9,1
88432,22.18,420.0,442.18,6,1
399,53.79,169.99,223.78,1,1
51751,9.61,112.9,122.51,2,1
87120,18.14,48.32,0.54,1,1
10154,15.28,59.99,22.56,1,1
45121,9.49,38.99,96.96,1,1
25941,18.49,47.9,66.39,1,1
26343,8.82,30.0,77.64,1,1
37637,14.91,116.59,131.5,10,1
47619,9.34,59.99,138.66,2,1
92303,12.21,29.99,42.2,4,1
59603,24.84,25.86,50.7,1,1
27642,19.36,169.9,189.26,1,1
79034,18.18,149.9,336.16,2,1
82687,16.79,27.9,44.69,1,1
3469,17.0,370.0,387.0,8,1
79341,97.44,399.0,496.44,5,1
30953,7.39,7.63,25.0,1,2
64219,7.8,78.0,85.8,1,1
92046,34.77,229.9,264.67,4,1
14664,18.22,321.9,340.12,3,1
89011,17.73,69.0,86.73,1,1
64939,7.78,39.0,83.56,1,1
98494,34.15,24.9,118.1,1,1
13020,18.23,27.9,46.13,1,1
34475,21.61,159.99,181.6,5,1
51219,12.81,229.99,242.8,4,1
52336,21.64,119.9,141.54,5,1
6770,19.4,61.9,162.6,1,1
93441,11.85,24.9,36.75,3,1
65284,12.99,78.0,90.99,1,1
57831,15.68,132.97,148.65,1,1
35872,15.22,67.1,82.32,1,1
101044,8.23,114.99,100.0,1,3
65247,14.1,29.0,43.1,1,1
18818,27.68,194.9,222.58,1,1
87874,60.9,1186.0,1246.9,10,1
15131,7.87,43.0,50.87,1,1
17884,24.19,199.0,223.19,4,1
105761,8.82,39.4,48.22,1,1
55593,13.34,149.9,163.24,2,1
96904,8.29,24.99,33.28,3,1
16293,7.71,45.9,19.25,1,1
60136,18.39,42.0,10.39,1,1
34399,18.48,129.0,147.48,4,1
31383,14.4,177.99,192.39,3,1
97304,12.79,40.6,53.39,1,1
11163,34.7,147.9,182.6,4,1
81809,7.85,39.0,46.85,4,1
71900,16.77,114.99,131.76,1,1
54668,16.48,149.0,165.48,1,1
50023,27.9,180.0,320.91,10,1
67617,19.76,229.0,514.52,1,1
66450,0.0,99.9,99.9,4,1
89873,36.02,99.9,135.92,3,1
14843,21.42,498.9,400.0,4,2
6241,11.85,28.0,39.85,1,1
19284,8.27,17.33,51.2,1,1
57144,7.39,24.98,32.37,3,1
44848,13.85,39.0,52.85,5,1
86125,26.88,179.99,163.74,1,1
64424,19.11,29.0,48.11,2,1
34666,21.19,99.9,121.09,8,1
2787,15.1,49.0,64.1,1,1
88812,17.8,79.0,96.8,9,1
66570,22.08,600.0,20.0,1,1
93139,7.78,24.99,32.77,1,1
30566,9.34,49.9,59.24,1,1
29479,47.85,58.9,213.5,3,1
19135,11.73,74.99,86.72,1,1
16044,15.54,81.0,300.15,1,1
30577,16.97,75.9,92.87,8,1
41278,13.98,56.99,141.94,4,1
105101,21.15,14.9,36.05,1,1
7565,28.61,179.0,207.61,3,1
24506,9.26,48.9,61.4,1,2
33229,19.33,51.5,141.66,6,1
77267,18.57,110.0,95.88,1,2
101573,14.66,69.5,84.16,1,1
101765,16.87,88.6,105.47,2,1
65038,7.39,39.0,46.39,2,1
111808,20.8,14.9,10.7,1,1
59445,15.79,149.0,164.79,3,1
29006,13.52,71.0,84.52,3,1
50031,9.51,99.9,109.41,1,1
29988,16.76,72.9,89.66,4,1
105519,9.53,120.0,129.53,1,1
20585,17.6,24.99,42.59,1,1
7336,17.95,29.99,9.83,1,1
110733,26.93,90.0,116.93,1,1
29474,25.25,58.9,84.15,2,1
82425,7.78,23.5,31.28,3,1
99455,14.1,13.65,27.75,1,1
93402,18.24,19.9,38.14,1,1
87770,15.16,58.46,147.24,7,1
10898,14.43,117.3,131.73,2,1
107252,11.85,40.0,51.85,1,1
39089,14.27,54.99,278.52,1,1
25681,11.85,22.9,34.75,2,1
26135,17.16,130.0,147.16,9,1
34166,12.13,89.9,102.03,3,1
43011,15.81,99.99,115.8,1,1
96911,16.79,49.99,66.78,1,1
39240,16.17,49.99,135.84,1,1
38760,28.34,56.1,405.33,5,1
94492,15.1,18.99,34.09,3,1
90076,7.39,64.0,71.39,1,1
56424,7.42,22.44,29.86,2,1
41925,19.01,105.0,248.02,1,1
82717,18.04,189.9,207.94,8,1
79210,7.78,39.99,47.77,2,1
10025,18.21,252.43,270.64,5,1
79679,7.58,44.99,52.57,5,1
43317,15.04,205.0,220.04,10,1
33369,30.41,29.99,310.71,8,1
39639,33.32,124.9,158.22,6,1
50040,14.1,46.9,61.0,3,1
76643,8.49,46.9,15.39,1,3
45112,18.84,105.99,124.83,1,1
63124,20.27,154.9,46.18,1,1
87413,20.07,35.7,583.82,1,1
94552,17.38,170.0,187.38,3,1
91333,27.44,69.99,97.43,4,1
47208,20.19,99.99,160.46,10,1
101866,7.78,74.5,164.56,3,1
32832,130.46,369.0,499.46,5,1
62669,21.01,74.99,96.0,2,1
74963,18.08,118.9,136.98,1,1
33747,17.19,29.99,47.18,4,1
1116,102.77,189.99,878.28,4,1
76699,23.52,134.2,157.72,6,1
56859,16.32,89.0,105.32,1,1
35123,34.0,79.9,349.4,8,1
66053,15.69,217.36,233.05,10,1
6818,17.6,29.99,47.59,4,1
32576,18.23,5.85,48.16,4,1
9555,12.8,65.49,391.45,1,1
67045,17.19,349.0,366.19,4,1
