,customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,shipping_limit_date,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,payment_sequential,payment_type,payment_installments,payment_value,seller_city,seller_state,product_category_name_english,product_category,product_vol_cm3,estimated_days,arrival_days,shipping_days,seller_to_carrier_status,arrival_status,estimated_delivery_rate,arrival_delivery_rate,shipping_delivery_rate
46026,sao paulo,SP,2018-04-30 22:18:55,2018-05-01 03:32:38,2018-05-02 11:53:00,2018-05-03 18:32:21,2018-05-11,5,,,2018-05-04 00:00:00,2018-05-05 17:05:22,2018-05-07 03:30:35,27.0,7.39,58.0,362.0,1.0,200.0,1,credit_card,1,34.39,mogi das cruzes,SP,bed_bath_table,Furniture,2964.0,11,3,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
103907,guararema,SP,2018-02-14 17:11:41,2018-02-14 17:28:07,2018-02-16 17:48:32,2018-02-21 21:49:06,2018-03-07,5,,,2018-02-22 00:00:00,2018-02-23 09:21:31,2018-02-20 16:28:07,34.9,11.85,60.0,1144.0,1.0,150.0,1,credit_card,1,46.75,americana,SP,signaling_and_security,Electronics,2944.0,21,7,5,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
37634,serra,ES,2017-10-14 11:02:53,2017-10-14 11:14:30,2017-10-17 10:37:20,2017-11-01 20:57:51,2017-11-06,5,,"Valeu a pena
Mas os cobre leitos um de solteiro e um de casal Queen veio errado.
Eu exijo a troca urgente.
Não quero problemas nem pra mim nem pra vcs, mas for necessário vou até onde me couber. C",2017-11-02 00:00:00,2017-11-03 01:38:01,2017-10-19 12:14:30,75.78,15.28,57.0,555.0,2.0,500.0,1,credit_card,5,91.06,ibitinga,SP,bed_bath_table,Furniture,12480.0,23,18,15,OnTime/Early,OnTime/Early,Neutral,Neutral,Fast
25201,sao paulo,SP,2018-03-23 22:14:05,2018-03-23 22:28:04,2018-03-27 02:32:22,2018-04-06 17:22:30,2018-04-11,5,,Agradeço pelo comprometimento o produto veio em ótimo estado e bem embalado..,2018-04-07 00:00:00,2018-04-08 19:05:55,2018-03-28 22:28:04,115.0,15.69,57.0,2440.0,1.0,375.0,1,credit_card,2,130.69,belo horizonte,MG,baby,Fashion,8120.0,19,14,10,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
105999,mairipora,SP,2018-08-13 16:32:39,2018-08-13 16:45:19,2018-08-14 15:15:00,2018-08-15 14:57:47,2018-08-21,5,loja parceira perfeita!!!,parabens pela rapidez na entrega e produto com qualidade,2018-08-16 00:00:00,2018-08-18 19:16:17,2018-08-16 16:45:19,26.9,8.35,49.0,150.0,2.0,750.0,1,credit_card,1,35.25,sao paulo,SP,home_appliances,Home & Garden,19250.0,8,2,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
70247,parisi,SP,2018-01-18 21:12:25,2018-01-23 10:20:22,2018-01-23 19:14:37,2018-01-31 17:36:49,2018-02-08,5,,,2018-02-01 00:00:00,2018-02-01 22:59:26,2018-01-29 10:20:22,34.49,11.85,55.0,3072.0,10.0,200.0,1,boleto,1,46.34,praia grande,SP,health_beauty,Beauty & Health,4312.0,21,13,8,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
16140,panambi,RS,2017-10-08 22:32:49,2017-10-08 22:49:14,2017-10-09 15:52:01,2017-10-19 18:52:02,2017-11-17,4,,,2017-10-20 00:00:00,2017-10-20 21:34:40,2017-10-16 23:49:14,200.0,21.89,60.0,1457.0,1.0,2450.0,1,credit_card,1,221.89,ribeirao preto,SP,sports_leisure,Entertainment,15488.0,40,11,10,OnTime/Early,OnTime/Early,Very Slow,Fast,Fast
30828,sao jose do rio preto,SP,2018-04-30 13:26:27,2018-04-30 13:52:12,2018-05-02 11:57:00,2018-05-08 16:11:55,2018-05-17,4,,,2018-05-09 00:00:00,2018-05-09 20:16:08,2018-05-07 13:52:12,24.5,12.79,34.0,124.0,1.0,150.0,1,credit_card,1,37.29,sao paulo,SP,housewares,Home & Garden,4563.0,17,8,6,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast
1706,limeira,SP,2018-03-13 11:29:18,2018-03-15 03:10:25,2018-03-27 23:27:36,2018-03-29 18:17:58,2018-04-10,5,,,2018-03-30 00:00:00,2018-04-02 22:18:14,2018-03-29 03:10:25,79.98,17.37,37.0,1090.0,1.0,7480.0,1,boleto,1,97.35,itaquaquecetuba,SP,furniture_decor,Furniture,66144.0,28,16,2,OnTime/Early,OnTime/Early,Slow,Neutral,Very Fast
4870,sao jose dos campos,SP,2017-08-04 11:42:37,2017-08-04 11:55:19,2017-08-07 16:52:09,2017-08-11 19:15:56,2017-08-24,4,,Produto bom e chegou bem antes do prazo,2017-08-12 00:00:00,2017-08-13 00:44:01,2017-08-10 11:55:19,59.55,13.44,59.0,205.0,1.0,950.0,1,credit_card,2,72.99,ibitinga,SP,furniture_decor,Furniture,8866.0,20,7,4,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
65493,belem,PA,2018-01-02 22:59:30,2018-01-03 13:41:23,2018-01-04 18:04:12,2018-01-19 01:22:10,2018-02-06,5,,Muito bom ,2018-01-19 00:00:00,2018-01-23 12:43:52,2018-01-09 13:41:23,39.0,17.63,58.0,506.0,4.0,250.0,1,debit_card,1,56.63,sao paulo,SP,watches_gifts,Electronics,640.0,35,17,15,OnTime/Early,OnTime/Early,Slow,Neutral,Fast
58936,bertioga,SP,2018-01-08 19:31:14,2018-01-09 07:19:41,2018-01-11 20:33:41,2018-01-24 23:58:08,2018-02-16,1,,"Comprei dois cartuchos de impressora no mesmo pedido, paguei pelos os dois é só chegou um cartucho. não consigo falar com ninguém a respeito disso. ",2018-01-25 00:00:00,2018-01-25 22:24:16,2018-01-15 07:19:41,74.9,26.39,58.0,509.0,1.0,117.0,1,boleto,1,164.83,maringa,PR,computers_accessories,Electronics,3276.0,39,16,13,OnTime/Early,OnTime/Early,Slow,Neutral,Fast
27874,sorocaba,SP,2018-07-31 01:15:48,2018-08-02 05:30:49,2018-08-02 15:30:00,2018-08-03 20:54:27,2018-08-07,3,,,2018-08-04 00:00:00,2018-08-05 00:31:51,2018-08-06 05:23:59,75.0,11.55,60.0,782.0,6.0,1650.0,1,boleto,1,86.55,sao paulo,SP,housewares,Home & Garden,21780.0,7,3,1,OnTime/Early,OnTime/Early,Very Fast,Very Fast,Very Fast
67975,quedas do iguacu,PR,2018-07-10 13:30:13,2018-07-10 13:45:28,2018-07-23 15:59:00,2018-07-26 18:41:32,2018-08-09,5,,,2018-07-27 00:00:00,2018-07-30 13:45:47,2018-07-20 13:45:28,173.9,19.32,43.0,548.0,3.0,381.0,1,credit_card,4,193.22,campinas,SP,watches_gifts,Electronics,3240.0,30,16,3,Late,OnTime/Early,Slow,Neutral,Very Fast
87174,vitoria da conquista,BA,2018-05-02 22:57:45,2018-05-03 03:55:22,2018-05-08 08:46:00,2018-06-07 16:44:21,2018-05-28,1,Desrespeito com o cliente,Falta de respeito com o cliente,2018-05-31 00:00:00,2018-05-31 10:16:49,2018-05-09 03:55:22,127.27,22.6,57.0,1160.0,1.0,625.0,1,boleto,1,149.87,votorantim,SP,garden_tools,Furniture,8280.0,26,36,30,OnTime/Early,Late,Slow,Slow,Slow
84534,itabirito,MG,2018-02-05 13:47:28,2018-02-07 03:10:25,2018-02-14 17:47:12,2018-02-26 21:06:19,2018-03-06,5,,"Excelente produto, vou comprar mais.",2018-02-27 00:00:00,2018-03-04 19:32:05,2018-02-13 03:10:25,49.9,17.6,56.0,348.0,2.0,1550.0,1,boleto,1,135.0,sao jose do rio preto,SP,garden_tools,Furniture,19800.0,29,21,12,Late,OnTime/Early,Slow,Neutral,Fast
32158,mogi mirim,SP,2018-08-16 09:57:33,2018-08-16 10:23:55,2018-08-17 14:06:00,2018-08-20 19:36:49,2018-08-24,5,Excelente Loja,,2018-08-21 00:00:00,2018-08-22 12:13:24,2018-08-21 10:23:55,55.0,11.42,59.0,523.0,2.0,1900.0,1,credit_card,6,66.42,sao paulo,SP,housewares,Home & Garden,11025.0,8,4,3,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
6625,joinville,SC,2017-12-06 09:50:09,2017-12-06 10:13:07,2017-12-13 19:13:26,2017-12-29 20:16:53,2018-01-09,1,,"Estou aguardando a entrega, até agora nada, e já passou do prazo.. O mesmo consta que está parado no correio.. Infelizmente...",2018-01-04 00:00:00,2018-01-04 19:40:03,2017-12-15 10:13:07,99.0,69.57,52.0,747.0,4.0,13200.0,1,credit_card,10,168.57,mogi das cruzes,SP,furniture_decor,Furniture,96000.0,34,23,16,OnTime/Early,OnTime/Early,Slow,Neutral,Neutral
48124,valinhos,SP,2017-09-26 17:32:19,2017-09-26 17:49:09,2017-09-27 12:33:43,2017-10-03 20:51:28,2017-10-23,5,,O produto é bom mas um pouco menor do que eu esperava.,2017-10-04 00:00:00,2017-10-05 00:04:44,2017-10-02 17:49:09,34.99,16.11,60.0,852.0,2.0,600.0,1,credit_card,1,51.1,joinville,SC,toys,Entertainment,8580.0,27,7,6,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast
14129,nova iguacu,RJ,2017-06-27 15:34:03,2017-06-27 15:45:19,2017-06-28 13:35:40,2017-07-07 19:17:52,2017-07-19,5,,,2017-07-08 00:00:00,2017-07-10 23:11:23,2017-07-03 15:45:19,99.0,16.94,60.0,1892.0,2.0,850.0,1,credit_card,1,115.94,itapecerica da serra,SP,auto,Electronics,2520.0,22,10,9,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
59725,brasilia,DF,2018-02-22 15:33:48,2018-02-22 15:50:31,2018-03-08 19:58:30,2018-03-21 21:28:39,2018-03-16,1,,Péssimo,2018-03-18 00:00:00,2018-03-20 12:15:14,2018-02-28 15:50:31,23.48,15.1,55.0,665.0,1.0,250.0,1,credit_card,2,154.32,ribeirao preto,SP,computers_accessories,Electronics,3861.0,22,27,13,Late,Late,Neutral,Slow,Fast
12357,coroata,MA,2017-12-09 12:08:24,2017-12-09 13:11:44,2017-12-12 15:17:15,2017-12-26 22:09:18,2018-01-12,5,,,2017-12-27 00:00:00,2017-12-28 08:29:40,2017-12-14 13:11:44,169.99,36.51,60.0,374.0,3.0,700.0,1,credit_card,4,206.5,itapecerica da serra,SP,auto,Electronics,5280.0,34,17,14,OnTime/Early,OnTime/Early,Slow,Neutral,Fast
53621,santa cruz da conceicao,SP,2018-04-10 18:30:50,2018-04-10 18:50:21,2018-04-12 19:41:08,2018-04-16 18:21:45,2018-05-09,5,,otimo produto entrega rapida satisfeito !!!,2018-04-17 00:00:00,2018-04-21 21:23:49,2018-04-20 18:50:21,215.0,18.42,52.0,516.0,1.0,4650.0,1,credit_card,3,233.42,sao paulo,SP,cool_stuff,Fashion,25160.0,29,6,4,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast
42611,ubatuba,SP,2018-01-30 11:10:42,2018-02-04 23:31:46,2018-01-31 18:25:16,2018-02-07 22:17:37,2018-02-21,5,,produto excelente ,2018-02-08 00:00:00,2018-02-19 12:09:56,2018-02-06 02:55:31,165.0,25.46,45.0,257.0,1.0,5326.0,1,boleto,1,380.92,sao paulo,SP,bed_bath_table,Furniture,56800.0,22,8,7,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast
83275,sao paulo,SP,2018-08-06 09:55:30,2018-08-06 10:10:19,2018-08-17 14:48:00,2018-08-20 14:04:03,2018-08-20,5,*****,,2018-08-21 00:00:00,2018-08-21 17:15:43,2018-08-17 10:10:19,119.85,15.92,56.0,922.0,7.0,1050.0,1,credit_card,4,411.6,salto,SP,home_construction,Furniture,5120.0,14,14,3,OnTime/Early,OnTime/Early,Fast,Fast,Very Fast
72216,arvorezinha,RS,2018-03-02 21:49:35,2018-03-02 22:08:47,2018-03-06 00:10:47,2018-03-27 22:18:55,2018-04-02,5,,,2018-03-28 00:00:00,2018-03-29 01:51:21,2018-03-07 22:08:47,49.9,15.1,40.0,409.0,1.0,1110.0,1,credit_card,2,65.0,indaiatuba,SP,health_beauty,Beauty & Health,3762.0,31,25,21,OnTime/Early,OnTime/Early,Slow,Slow,Neutral
15920,guarulhos,SP,2017-04-20 22:31:37,2017-04-20 22:45:14,2017-04-24 08:14:59,2017-05-09 11:44:17,2017-05-11,5,,Recebi os produtos de acordo com o pedido. Tive um atraso na entrega devido à greve dos correios. ,2017-05-10 00:00:00,2017-05-16 14:29:54,2017-04-27 22:45:14,113.0,13.37,45.0,2950.0,1.0,1625.0,1,credit_card,1,8.37,ribeirao preto,SP,sports_leisure,Entertainment,12789.0,21,19,15,OnTime/Early,OnTime/Early,Neutral,Neutral,Fast
35093,araxa,MG,2017-05-13 23:47:48,2017-05-14 01:10:18,2017-05-16 16:02:26,2017-05-29 15:48:44,2017-06-05,4,,,2017-05-31 00:00:00,2017-05-31 10:51:15,2017-05-19 01:10:18,89.9,15.38,54.0,245.0,1.0,1383.0,1,credit_card,4,105.28,ibitinga,SP,bed_bath_table,Furniture,20000.0,23,16,13,OnTime/Early,OnTime/Early,Neutral,Neutral,Fast
63448,vespasiano,MG,2017-08-14 18:52:57,2017-08-15 03:55:23,2017-08-17 17:19:56,2017-08-22 16:14:16,2017-09-01,5,,,2017-08-23 00:00:00,2017-08-26 22:13:38,2017-08-21 03:55:23,45.0,12.48,47.0,458.0,2.0,150.0,1,boleto,1,57.48,araguari,MG,consoles_games,Electronics,576.0,18,8,5,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast
93942,uruguaiana,RS,2017-02-25 10:18:08,2017-02-25 10:30:22,2017-03-01 13:01:12,2017-03-13 12:52:01,2017-03-24,5,,,2017-03-14 00:00:00,2017-03-15 11:09:23,2017-03-02 10:30:22,27.99,16.05,36.0,381.0,2.0,100.0,1,credit_card,3,44.04,sao paulo,SP,telephony,Electronics,627.0,27,16,12,OnTime/Early,OnTime/Early,Slow,Neutral,Fast
61477,missal,PR,2017-09-10 14:13:03,2017-09-10 14:25:34,2017-09-18 20:15:34,2017-09-26 19:25:42,2017-10-04,5,,,2017-09-27 00:00:00,2017-09-28 02:02:15,2017-09-15 14:25:34,249.99,16.5,51.0,2025.0,2.0,350.0,1,credit_card,1,266.49,sao paulo,SP,computers_accessories,Electronics,2000.0,24,16,8,Late,OnTime/Early,Neutral,Neutral,Fast
96765,blumenau,SC,2017-10-13 08:20:13,2017-10-14 08:28:08,2017-10-16 21:29:00,2017-10-25 17:56:10,2017-11-07,3,,,2017-10-26 00:00:00,2017-10-30 17:09:58,2017-10-19 09:28:08,479.0,50.27,57.0,224.0,6.0,11100.0,1,credit_card,1,868.54,uberlandia,MG,construction_tools_construction,Industry & Construction,50820.0,25,12,9,OnTime/Early,OnTime/Early,Slow,Fast,Fast
64131,campo mourao,PR,2018-06-12 17:17:01,2018-06-14 02:57:37,2018-06-20 15:25:00,2018-06-27 14:38:45,2018-07-12,5,,,2018-06-28 00:00:00,2018-06-28 18:12:26,2018-06-20 02:57:37,120.0,36.19,58.0,3145.0,3.0,1900.0,1,boleto,1,156.19,rio de janeiro,RJ,watches_gifts,Electronics,13720.0,30,15,7,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast
22777,sao paulo,SP,2018-04-07 12:43:39,2018-04-07 12:55:34,2018-04-11 00:17:50,2018-04-12 00:38:44,2018-04-23,5,,Compra tranquila e sem problemas,2018-04-12 00:00:00,2018-04-13 00:00:47,2018-04-12 12:55:34,104.9,9.09,40.0,354.0,3.0,650.0,1,credit_card,1,113.99,cotia,SP,sports_leisure,Entertainment,14000.0,16,5,1,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
111271,marilia,SP,2018-03-23 11:03:26,2018-03-24 02:10:47,2018-03-27 20:57:32,2018-04-06 03:11:39,2018-04-17,5,,,2018-04-06 00:00:00,2018-04-09 10:59:28,2018-03-29 02:10:47,31.9,15.2,53.0,470.0,3.0,200.0,1,boleto,1,94.2,pocos de caldas,MG,costruction_tools_tools,Home & Garden,4096.0,25,14,10,OnTime/Early,OnTime/Early,Slow,Fast,Fast
13517,itapevi,SP,2018-05-10 08:06:33,2018-05-10 08:18:23,2018-05-10 13:39:00,2018-05-11 20:26:17,2018-05-18,5,ÓTIMO,Recomendo produto entrega rapida,2018-05-12 00:00:00,2018-05-13 00:08:54,2018-05-16 08:18:23,79.0,7.42,60.0,498.0,1.0,250.0,1,credit_card,8,86.42,sao paulo,SP,auto,Electronics,2304.0,8,1,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
93838,juvenilia,MG,2017-01-30 11:17:55,2017-01-31 09:32:39,2017-01-31 23:29:58,2017-02-10 10:14:06,2017-03-10,5,,Muito bom.,2017-02-11 00:00:00,2017-02-14 02:17:58,2017-02-04 11:17:55,18.99,9.0,42.0,379.0,1.0,100.0,1,credit_card,5,55.98,sao paulo,SP,telephony,Electronics,627.0,39,11,10,OnTime/Early,OnTime/Early,Slow,Fast,Fast
86418,campo belo,MG,2017-12-16 22:02:19,2017-12-16 22:11:31,2017-12-18 20:38:49,2017-12-27 16:48:18,2018-01-12,5,,Ótima entrega ,2017-12-28 00:00:00,2017-12-28 20:42:01,2017-12-20 22:11:31,89.99,26.25,58.0,1893.0,1.0,5950.0,1,credit_card,2,116.24,ilicinea,MG,garden_tools,Furniture,8000.0,27,11,9,OnTime/Early,OnTime/Early,Slow,Fast,Fast
35892,mesquita,RJ,2017-09-10 22:34:32,2017-09-10 22:45:14,2017-09-11 21:03:44,2017-09-22 18:44:04,2017-10-03,5,,,2017-09-23 00:00:00,2017-09-25 12:43:54,2017-09-14 22:45:14,169.0,15.93,53.0,284.0,1.0,2100.0,1,credit_card,1,184.93,ibitinga,SP,bed_bath_table,Furniture,23625.0,23,12,11,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
103523,santos,SP,2018-08-16 16:12:57,2018-08-16 16:25:21,2018-08-17 18:25:00,2018-08-21 00:40:31,2018-08-21,5,,,2018-08-22 00:00:00,2018-08-22 13:20:46,2018-08-20 16:25:21,80.49,8.72,32.0,1392.0,1.0,330.0,1,credit_card,1,89.21,santo andre,SP,food,Food & Drinks,4800.0,5,5,4,OnTime/Early,OnTime/Early,Very Fast,Very Fast,Very Fast
73749,juiz de fora,MG,2018-03-11 18:18:53,2018-03-13 04:40:29,2018-03-13 19:37:37,2018-03-26 21:52:06,2018-04-03,5,,,2018-03-27 00:00:00,2018-03-30 01:22:07,2018-03-19 04:31:09,59.0,18.29,58.0,2910.0,1.0,300.0,1,boleto,1,77.29,birigui,SP,health_beauty,Beauty & Health,1944.0,23,15,13,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
80398,sao paulo,SP,2018-04-01 15:07:00,2018-04-01 15:27:39,2018-04-02 23:27:35,2018-04-04 19:12:44,2018-04-12,5,,,2018-04-05 00:00:00,2018-04-06 10:55:11,2018-04-05 15:27:39,13.99,7.39,54.0,937.0,1.0,50.0,1,debit_card,1,21.38,sao paulo,SP,perfumery,Beauty & Health,880.0,11,3,2,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
49522,rio de janeiro,RJ,2017-12-19 14:55:26,2017-12-19 15:54:36,2017-12-20 16:58:38,2018-01-04 21:23:43,2018-01-12,5,,,2018-01-05 00:00:00,2018-01-08 13:29:42,2017-12-26 15:54:36,129.99,21.75,59.0,1629.0,3.0,5250.0,1,credit_card,2,151.74,sao paulo,SP,toys,Entertainment,39780.0,24,16,15,OnTime/Early,OnTime/Early,Neutral,Neutral,Fast
6340,itajuipe,BA,2017-07-07 23:25:18,2017-07-07 23:43:02,2017-07-11 21:39:50,2017-07-24 19:52:07,2017-08-04,5,,COMPRA TRANQUILA.,2017-07-25 00:00:00,2017-09-01 23:14:20,2017-07-12 23:43:02,76.9,19.78,63.0,627.0,2.0,1500.0,2,voucher,1,50.0,tres coracoes,MG,furniture_decor,Furniture,7448.0,28,17,13,OnTime/Early,OnTime/Early,Slow,Neutral,Fast
109587,curitiba,PR,2018-03-17 23:09:29,2018-03-17 23:27:51,2018-03-19 17:43:23,2018-03-27 01:42:12,2018-04-06,4,,"O carrinho é muito bom, poderá ser melhor. É só diminuir os espaços entres as grades.",2018-03-27 00:00:00,2018-03-29 23:23:33,2018-03-21 23:27:51,129.0,40.29,49.0,411.0,3.0,10700.0,1,credit_card,1,169.29,diadema,SP,luggage_accessories,Home & Garden,64000.0,20,10,8,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
9440,arcos,MG,2017-06-09 17:20:14,2017-06-09 17:35:12,2017-06-19 21:34:56,2017-06-29 13:27:54,2017-07-04,5,,,2017-06-30 00:00:00,2017-07-03 11:45:16,2017-06-15 17:35:12,259.0,22.3,54.0,757.0,6.0,3300.0,1,credit_card,6,281.3,sao jose do rio preto,SP,furniture_decor,Furniture,2128.0,25,20,10,Late,OnTime/Early,Slow,Neutral,Fast
107457,olinda,PE,2017-06-09 19:00:08,2017-06-10 18:50:18,2017-06-16 15:04:47,2017-07-04 16:16:22,2017-07-26,2,,"Não recomendo, pois o praso de entrega é muito longo, pois comprei o produto no dia 09/06/2017 e chegou dia 04/07/2017 muita demora, pois compro em outros site e recebo o produto no máximo 10 dias ut.",2017-07-05 00:00:00,2017-07-06 14:03:23,2017-06-15 18:50:18,49.9,17.63,46.0,419.0,4.0,200.0,1,credit_card,6,67.53,sao paulo,SP,fashion_bags_accessories,Fashion,880.0,47,25,18,Late,OnTime/Early,Very Slow,Slow,Neutral
84460,brasilia,DF,2017-07-21 17:20:29,2017-07-22 06:42:44,2017-07-27 21:59:47,2017-07-31 19:12:51,2017-08-23,1,,"HOJE, dia 02/08/2017- quarta feira, Informo que ainda NÃO recebi 02 Lustres Pendente Meia Lua Meia Bola Esfera Alumínio 34cm escovado, O Correios só entregou até agora 4 dos 6 Lustres que comprei....",2017-08-01 00:00:00,2017-08-03 02:00:31,2017-07-27 06:42:44,59.9,17.67,57.0,339.0,2.0,1800.0,1,boleto,1,465.42,sao jose do rio preto,SP,garden_tools,Furniture,32560.0,33,10,4,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast
15789,sao jose dos campos,SP,2017-09-10 21:12:36,2017-09-12 04:45:45,2017-09-12 20:32:24,2017-09-15 18:27:55,2017-09-28,5,,produto entregue antes do prazo previsto deixando muito satisfeito.,2017-09-16 00:00:00,2017-09-18 21:43:39,2017-09-18 04:45:45,59.9,11.92,49.0,1437.0,1.0,300.0,1,boleto,1,71.82,jau,SP,sports_leisure,Entertainment,2420.0,18,5,3,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
